ID,y_true,y_pred,y_prob
1362,0,1,0.5306288860092097
6859,0,0,0.4386226704721276
5544,0,0,0.46438801881907077
7437,0,0,0.20566716594526877
8416,0,0,0.1723610351887621
590,1,1,0.7878776383606998
10738,0,0,0.2000680596647242
11178,0,0,0.22977842271119267
7620,0,0,0.37923016105397733
3083,0,0,0.490837563489988
10286,0,1,0.6174541948021427
1491,0,0,0.27084914148242895
9224,0,0,0.34773917203688615
3520,1,0,0.33956405183184485
2410,0,1,0.6449017538301463
1184,0,0,0.22360754489629353
9958,0,0,0.2544933874213815
8832,0,1,0.5141399578077765
5832,0,1,0.607409999220721
6504,0,1,0.5409909373699935
898,0,1,0.5561487547098821
6999,0,0,0.2987455918198404
5948,0,0,0.20932691075424983
5229,0,0,0.12723734648608997
202,0,1,0.5572286492119415
3635,0,0,0.3978359155736143
10381,0,0,0.20817693159061626
4107,0,0,0.49284811546417756
451,0,0,0.20512278527083125
4368,0,0,0.3532172517693829
3766,1,0,0.4579744507527115
10383,1,0,0.30101548444476073
6222,0,0,0.08531818431719791
8414,0,0,0.3697777548770817
7214,0,1,0.5751039349782463
9400,0,1,0.6537065585031124
7224,0,0,0.321522459570068
955,1,0,0.34648455634115927
1631,1,0,0.491673074985807
8210,0,0,0.34971528446245226
2882,0,0,0.26470655577888713
544,0,0,0.2548602919985303
4712,0,0,0.3564491070901317
2408,0,0,0.33641310784703204
5995,1,1,0.5230335306854544
5462,0,0,0.27776873007366526
9888,0,0,0.314663269057118
9240,0,0,0.3841623666185799
5626,0,0,0.33434895822343885
3834,0,0,0.2294499316254831
4437,0,0,0.16722605434939403
10992,0,0,0.21303290913313577
8911,0,0,0.3989864101615589
5718,1,0,0.4875408180793236
6421,0,1,0.8815160657790486
5107,0,0,0.1596336569712845
3887,1,1,0.5341195409339051
5156,0,0,0.29945091057164314
1618,1,0,0.40833064559923576
6181,0,0,0.4287647058458124
9451,0,1,0.5284450417750033
8726,0,0,0.48115907703815763
1876,0,0,0.3153182308099475
9,0,0,0.455458599030565
4855,1,0,0.1708803454490722
5589,0,0,0.39839209858822616
10582,0,0,0.2346183520186266
5184,0,0,0.22767560833453668
3619,1,1,0.5565202846935468
9780,0,0,0.22505500611598833
5684,0,0,0.33615686219950464
5552,0,0,0.3742249128538221
7129,0,0,0.3477732462025237
1513,0,0,0.4430560130622776
9291,0,0,0.10099201430808623
8953,0,0,0.057910074731281624
2371,0,0,0.47747953214734595
7922,0,0,0.24395502680249873
6173,0,0,0.18315435103986472
11030,0,0,0.23664433761618037
6086,0,0,0.3825826337023139
6932,0,1,0.5675829910671151
7521,0,0,0.4797479361248048
10352,1,0,0.3402599233982209
2461,0,0,0.026662372474532414
1921,0,0,0.14436005635585406
9826,1,1,0.9079866707526617
9081,0,0,0.20677094376043037
2118,0,0,0.3230249647429203
10129,0,1,0.711511263427233
2836,0,0,0.1664724471537421
6431,0,0,0.22928580431065954
2894,1,1,0.7407840853178542
4141,0,0,0.3011693288579018
9790,1,0,0.4653717808453023
2929,0,1,0.5202793148641279
2379,1,1,0.5085792604314946
737,0,1,0.5443074832188307
2589,0,0,0.3313662894632217
7788,0,0,0.25668299009853696
1173,1,0,0.4110972594433267
10872,0,1,0.5252405561440976
8477,0,0,0.0894576341361594
5010,0,0,0.2898499647401046
4910,0,1,0.5127782728103366
4179,0,0,0.1177898443569105
2499,0,0,0.2946804038505928
6406,0,1,0.6295575275719779
9284,0,0,0.3892605137006193
6729,0,1,0.5647919781891984
1349,0,0,0.39259236476333215
2634,1,0,0.495436955223467
7441,0,0,0.4118924627708865
5731,0,0,0.2532750527016731
807,0,0,0.45243814360948204
9743,0,1,0.5228019932599928
7527,0,1,0.5062979738350841
6642,0,0,0.32401768454541047
10814,1,0,0.4933340341128874
10949,1,1,0.7048087421877399
3050,0,0,0.28752856654216397
2891,0,0,0.23834062878475165
7610,0,1,0.6125636343044837
6428,0,0,0.27239444608133484
7574,0,0,0.17413827391318923
7699,0,0,0.4957309725991428
5642,0,0,0.20945580510310002
9097,0,0,0.3335029313375197
10356,0,0,0.05713877190001508
697,0,1,0.7592056433950868
9739,0,0,0.36761676521969217
213,0,0,0.08807143030215839
8079,0,0,0.2057920748469175
3266,0,0,0.3518332515413942
8314,0,1,0.7884627712454982
1340,0,1,0.6512269611325058
5117,0,0,0.4546383326398124
868,0,0,0.22061107870122634
3032,0,1,0.5790942724385384
10925,0,0,0.30211646714228946
10091,0,0,0.3513288494034315
2521,1,0,0.38631006842992527
10967,0,0,0.33481248386443646
123,0,0,0.2150175798363901
2456,0,1,0.5252767269627331
6963,0,0,0.2829610016183575
9365,0,0,0.42415197593777937
3846,0,0,0.4906884847089451
10061,0,0,0.30679031750576136
5975,0,0,0.1958934444134507
3762,1,0,0.33852485062411575
10092,0,1,0.5355221667142419
10513,0,0,0.49848358207616134
8659,0,0,0.204116858742281
5802,0,0,0.46359090780593154
3749,0,1,0.5047333512126732
1920,0,0,0.4613002083107714
6059,1,0,0.44899531371939266
3578,0,0,0.3078327819829674
5751,0,0,0.21826840236532946
9799,0,0,0.4785661602731642
232,0,0,0.3355690555634906
3281,0,0,0.41437448066565474
4998,0,0,0.22681894415142403
326,0,0,0.39347253935446436
2326,0,0,0.3153182308099475
1172,1,1,0.8404134373700486
2493,0,0,0.33459257933804626
7124,0,0,0.41932840582690833
1277,0,0,0.35113625180774016
8299,0,0,0.28437321976639196
7660,1,0,0.1596336569712845
2549,0,0,0.3241393295301745
762,0,0,0.24212887708899114
4377,0,0,0.380401337357369
4974,0,1,0.5275747172801395
3919,1,1,0.7268577733369155
2262,0,0,0.33284144330057935
7734,1,0,0.4184369752566084
4832,0,1,0.5231005021588366
6382,0,0,0.04359031241006579
9589,0,1,0.5572286492119415
9862,0,0,0.27098294123555616
6343,0,1,0.5711015020733117
4385,0,0,0.16762988778047608
1143,0,0,0.2534901580950428
3469,0,0,0.45617016820050715
89,0,1,0.5648428905244364
916,0,0,0.1781184513206714
2181,0,0,0.4304514644235284
10854,0,0,0.13050158158889408
4686,0,1,0.7358486990919151
9635,0,1,0.5123084928696205
879,0,1,0.5215179477216408
7899,0,1,0.612860320849534
4500,0,0,0.4473851467847088
8182,0,1,0.5487029469814221
8690,0,1,0.63662818224309
8180,0,0,0.26613408019734386
2625,0,0,0.40501051271866134
5304,0,0,0.3223839845135998
1940,0,0,0.2810469163695236
5121,0,0,0.39705778010053866
9729,0,0,0.35915243327365454
10832,0,0,0.3686436840093497
7348,1,1,0.5176648036560534
9907,0,0,0.20500925047985952
5177,0,0,0.3041155818345853
10037,0,0,0.253547587534539
378,0,0,0.44122460786729706
6605,0,0,0.4089434018084746
1158,0,0,0.2891196555142178
8687,0,0,0.3826309058987569
5991,0,0,0.3199807805532945
8619,0,0,0.09713859758488332
11075,0,0,0.36301629433992816
8086,0,0,0.054252970395492
9262,0,0,0.33105199341438324
10128,0,0,0.3892605137006193
4442,0,0,0.33252627320753525
3433,0,0,0.2877373115058328
5823,0,0,0.18029018103976172
433,0,0,0.3550611193114396
6931,1,0,0.32095762530710525
4550,0,0,0.3794568752514515
5093,1,1,0.5696600773631401
