ID,y_true,y_pred,y_prob
1362,0,1,0.5032171597009101
6859,0,0,0.4333559223340498
5544,0,0,0.4861759038284964
7437,0,0,0.1915394602774472
8416,0,0,0.18725969144469337
590,1,1,0.7681613470266642
10738,0,0,0.2626811098562701
11178,0,0,0.24871508157425665
7620,0,0,0.38809075081705263
3083,0,1,0.5000487240744338
10286,0,1,0.6099345323810262
1491,0,0,0.2793501869273192
9224,0,0,0.3558323311296408
3520,1,0,0.42048665170371946
2410,0,1,0.6175167655287701
1184,0,0,0.25550653102393206
9958,0,0,0.2741236555906865
8832,0,0,0.49941790797104146
5832,0,1,0.6479243980613254
6504,0,1,0.5383061107694851
898,0,1,0.5528933523737853
6999,0,0,0.35344991664827213
5948,0,0,0.23129330678561102
5229,0,0,0.12791886999155025
202,0,1,0.5781720728185472
3635,0,0,0.40896585013892306
10381,0,0,0.20261832932083498
4107,0,0,0.49375972992148465
451,0,0,0.22371120895199634
4368,0,0,0.35092366967375554
3766,1,1,0.5037239909522062
10383,1,0,0.32468109702113407
6222,0,0,0.08981648536731
8414,0,0,0.3602510661024974
7214,0,1,0.552138114280852
9400,0,1,0.6750466401657013
7224,0,0,0.30559860429060315
955,1,0,0.32834329005425567
1631,1,1,0.5112470348612409
8210,0,0,0.3340739524257176
2882,0,0,0.2826381542588014
544,0,0,0.24168808962563232
4712,0,0,0.35933906591634807
2408,0,0,0.3561991424421
5995,1,1,0.5099449116758763
5462,0,0,0.2701638542141184
9888,0,0,0.34896398720087757
9240,0,0,0.3832369447010534
5626,0,0,0.37143016536079093
3834,0,0,0.24888266413377574
4437,0,0,0.18107392071862521
10992,0,0,0.24539573329811504
8911,0,0,0.39847301829146087
5718,1,1,0.5321773748430332
6421,0,1,0.8803722409324354
5107,0,0,0.14450418130893317
3887,1,1,0.5092818890949617
5156,0,0,0.31503822616832544
1618,1,0,0.43550544047538314
6181,0,0,0.4688724439706894
9451,0,1,0.5223465210088882
8726,0,0,0.4654774178807856
1876,0,0,0.28558457631880546
9,0,0,0.4533452994242849
4855,1,0,0.1846667471818128
5589,0,0,0.3962641192086582
10582,0,0,0.26204622813169964
5184,0,0,0.20498933692492682
3619,1,1,0.60427757602462
9780,0,0,0.22083270105275005
5684,0,0,0.3710467310658382
5552,0,0,0.3362311008267434
7129,0,0,0.34849832530031005
1513,0,0,0.46300539038117944
9291,0,0,0.11493669837994204
8953,0,0,0.05362694363305902
2371,0,0,0.4813545337895267
7922,0,0,0.2406040032352863
6173,0,0,0.19712346564397512
11030,0,0,0.2678515879716537
6086,0,0,0.45604820126210477
6932,0,1,0.540262486145469
7521,0,1,0.5465329913459578
10352,1,0,0.353252585303354
